num_verts prob_arc num_arcs max_cap seed dinic1 ek1 mpm1
500 1.0 124750 4720 11585 0.0095278 3.36514 0.0430646
500 1.0 124750 4720 12647 0.0148327 3.18014 0.051802
500 1.0 124750 4720 16694 0.00746043 2.55234 0.0433246
500 1.0 124750 4720 25579 0.00904929 3.08741 0.0527168
500 1.0 124750 4720 26973 0.00723607 2.74214 0.0484024
500 1.0 124750 4720 2757 0.0120146 2.77435 0.0528964
500 1.0 124750 4720 30292 0.00790896 2.57783 0.043481
500 1.0 124750 4720 31595 0.00743845 2.64 0.0421522
500 1.0 124750 4720 4533 0.00765301 2.67627 0.0539267
500 1.0 124750 4720 9121 0.0102285 2.5451 0.0497993
500 1.0 124750 5380 13086 0.00727926 2.52669 0.0490802
500 1.0 124750 5380 16310 0.00873339 3.26382 0.0368613
500 1.0 124750 5380 17223 0.0110583 3.18816 0.0467896
500 1.0 124750 5380 20479 0.00727828 2.62888 0.0489827
500 1.0 124750 5380 21238 0.0106316 2.67202 0.0618981
500 1.0 124750 5380 24860 0.0152408 3.17174 0.0624174
500 1.0 124750 5380 24906 0.00760074 2.51361 0.0518515
500 1.0 124750 5380 25824 0.00812195 2.63438 0.057512
500 1.0 124750 5380 26865 0.00711455 2.7492 0.0514936
500 1.0 124750 5380 29564 0.0110896 2.57441 0.0520815
500 1.0 124750 6040 10132 0.0138421 3.27829 0.0547275
500 1.0 124750 6040 18031 0.00892591 2.45615 0.054509
500 1.0 124750 6040 18540 0.00847295 2.82632 0.0422259
500 1.0 124750 6040 20297 0.0085807 2.68793 0.0439102
500 1.0 124750 6040 27602 0.0167634 3.19208 0.0526535
500 1.0 124750 6040 28522 0.00813987 2.52319 0.0570873
500 1.0 124750 6040 29442 0.00762918 2.5855 0.0520246
500 1.0 124750 6040 29924 0.00884567 2.43637 0.073236
500 1.0 124750 6040 30799 0.00695549 2.59977 0.0418985
500 1.0 124750 6040 32421 0.00978694 2.65853 0.0524731
500 1.0 124750 6700 11685 0.00744221 2.53416 0.041388
500 1.0 124750 6700 12089 0.00738121 2.41917 0.0382965
500 1.0 124750 6700 13439 0.0097844 2.69871 0.060792
500 1.0 124750 6700 17234 0.00826633 2.7795 0.051666
500 1.0 124750 6700 2751 0.0090354 2.87999 0.0381317
500 1.0 124750 6700 3141 0.00890996 2.88476 0.0367718
500 1.0 124750 6700 32256 0.0149132 3.05275 0.0554807
500 1.0 124750 6700 3305 0.0085436 2.61737 0.0607079
500 1.0 124750 6700 3371 0.0138105 2.94549 0.0586923
500 1.0 124750 6700 3373 0.0110598 3.30883 0.0468051
500 1.0 124750 7360 10817 0.00764494 2.59265 0.0341508
500 1.0 124750 7360 11002 0.00734433 2.73825 0.0461669
500 1.0 124750 7360 11403 0.0127133 2.43519 0.0417845
500 1.0 124750 7360 13772 0.00794249 2.98869 0.0364104
500 1.0 124750 7360 17864 0.010527 2.82693 0.0530626
500 1.0 124750 7360 19694 0.00878105 2.8871 0.0444956
500 1.0 124750 7360 24228 0.00874691 3.00363 0.0482358
500 1.0 124750 7360 28103 0.00879753 2.70626 0.0579872
500 1.0 124750 7360 30337 0.00810978 2.65902 0.0467586
500 1.0 124750 7360 7338 0.0088933 2.61318 0.0406722
500 1.0 124750 760 10874 0.0073164 2.24594 0.0341663
500 1.0 124750 760 18556 0.00821858 2.82562 0.0493323
500 1.0 124750 760 19405 0.00810129 2.8609 0.0502173
500 1.0 124750 760 19976 0.0155684 3.07791 0.0604254
500 1.0 124750 760 21703 0.012525 3.00595 0.0645297
500 1.0 124750 760 22377 0.015182 3.17177 0.066618
